Athlete,Bodyweight (kg),Snatch (kg),Clean & Jerk (kg),Total (kg),Gender
Grzegorz Kleszcz (POL),104.68,185,220,405,Men
Mariusz Jędra (POL),104.52,175,215,390,Men
Boris Burov (ECU),103.42,182.5,205,387.5,Men
Ramūnas Vyšniauskas (LTU),104.16,175,210,385,Men
Moreno Boer (ITA),104.92,165,200,365,Men
Tevita Kofe Ngalu (TGA),103.96,127.5,167.5,295,Men
Anatoly Khrapaty (KAZ),103.06,-1,-1,-1,Men
Abdulaziz Alpak (TUR),103.14,175,-1,-1,Men
Denys Hotfrid (UKR),103.88,190,-1,-1,Men
Choi Jong-keun (KOR),104.38,-1,-1,-1,Men
Péter Tamton (HUN),104.4,175,-1,-1,Men
Thomas Yule (GBR),104.46,-1,-1,-1,Men
Mukhran Gogia (GEO),104.5,-1,-1,-1,Men
Evgeny Shishlyannikov (RUS),104.86,187.5,-1,-1,Men
Ding Meiyuan (CHN),103.56,135,165,300,Women
Agata Wróbel (POL),119.42,132.5,162.5,295,Women
Cheryl Haworth (USA),139.38,125,145,270,Women
Carmenza Delgado (COL),91.78,115,145,260,Women
Helen Idahosa (NGR),97.04,110,140,250,Women
Monique Riesterer (GER),93.52,112.5,132.5,245,Women
Moon Kyung-ae (KOR),94.52,110,135,245,Women
Olivia Baker (NZL),94.74,105,130,235,Women
Melinda Szik (HUN),97.3,107.5,127.5,235,Women
Sheeva Peo (NRU),92.34,97.5,122.5,220,Women
Vita Rudenok (UKR),106.98,115,-1,-1,Women
Hossein Rezazadeh (IRI),147.48,212.5,260,472.5,Men
Ronny Weller (GER),146.88,210,257.5,467.5,Men
Andrey Chemerkin (RUS),174.84,202.5,260,462.5,Men
Jaber Saeed Salem (QAT),123.64,205,255,460,Men
Kim Tae-hyun (KOR),133.36,200,260,460,Men
Viktors Ščerbatihs (LAT),131.58,202.5,250,452.5,Men
Paweł Najdek (POL),134.64,185,240,425,Men
Tibor Stark (HUN),140.62,195,230,425,Men
Hennadiy Krasylnykov (UKR),118.02,190,230,420,Men
Shane Hamman (USA),163.22,195,225,420,Men
Artem Udachyn (UKR),133.32,195,220,415,Men
Igor Khalilov (UZB),140.12,185,225,410,Men
Jon Tecedor (ESP),138.34,175,220,395,Men
Petr Sobotka (CZE),155.06,175,217.5,392.5,Men
Marius Alecu (ROM),116.04,175,215,390,Men
