Athlete,Bodyweight (kg),Snatch (kg),Clean & Jerk (kg),Total (kg),Gender
Mami Shimamoto (JPN),105.9,110,143,253,Women
Holley Mangold (USA),157.04,105,135,240,Women
Astrid Camposeco (GUA),88.52,93,115,208,Women
Luisa Peters (COK),88.58,82,100,182,Women
Alberta Ampomah (GHA),78.53,73,101,174,Women
Mariam Usman (NGR),120.79,129,-1,-1,Women
Hripsime Khurshudyan (ARM),87.58,128,166,294,Women
Behdad Salimi (IRI),168.19,208,247,455,Men
Sajjad Anoushiravani (IRI),152.46,204,245,449,Men
Ruslan Albegov (RUS),147.15,208,240,448,Men
Jeon Sang-guen (KOR),157.53,190,246,436,Men
Irakli Turmanidze (GEO),126.23,201,232,433,Men
Ihor Shymechko (UKR),137.38,197,232,429,Men
Jiří Orság (CZE),128.15,187,239,426,Men
Almir Velagić (GER),141.41,192,234,426,Men
Chen Shih-chieh (TPE),141.14,182,236,418,Men
Péter Nagy (HUN),155.55,191,225,416,Men
Fernando Reis (BRA),140.49,180,220,400,Men
Kazuomi Ota (JPN),146.51,185,215,400,Men
Itte Detenamo (NRU),151.32,175,215,390,Men
Christian López (GUA),139.15,172,215,387,Men
Damon Kelly (AUS),150.83,165,216,381,Men
Frederic Fokejou (CMR),132.74,160,202,362,Men
Carl Henriquez (ARU),150.38,122,160,282,Men
Matthias Steiner (GER),149.98,192,-1,-1,Men
Yauheni Zharnasek (BLR),147.37,196,230,426,Men
Long Qingquan,55.68,137,170,307,Men
Om Yun-chol,55.57,134,169,303,Men
Sinphet Kruaithong,55.43,132,157,289,Men
Arli Chontey,55.64,130,148,278,Men
Trần Lê Quốc Toàn,55.85,121,154,275,Men
Habib de las Salas,55.84,119,147,266,Men
Mirco Scarantino,55.91,115,149,264,Men
Luis García,55.56,118,145,263,Men
Witoon Mingmoon,55.67,113,148,261,Men
Edgar Pineda,56,108,143,251,Men
Hiroaki Takao,55.9,111,138,249,Men
Tan Chi-chung,55.89,110,138,248,Men
Manueli Tulo,55.81,106,136,242,Men
Tom Goegebuer,55.74,111,130,241,Men
Elson Brechtefeld,55.62,98,125,223,Men
Thạch Kim Tuấn,55.55,130,-1,-1,Men
Nestor Colonia,55.11,120,-1,-1,Men
Josué Brachi,55.67,-1,-1,-1,Men
Ösökhbayaryn Chagnaadorj,55.65,-1,-1,-1,Men
Sopita Tanasan,47.91,92,108,200,Women
Sri Wahyuni Agustiani,47.25,85,107,192,Women
Hiromi Miyake,47.95,81,107,188,Women
Beatriz Pirón,47.5,85,102,187,Women
Margarita Yelisseyeva,47.72,80,106,186,Women
Morghan King,47.79,83,100,183,Women
Chen Wei-ling,47.13,81,100,181,Women
Iulia Paratova,47.74,84,95,179,Women
Roilya Ranaivosoa,47.9,80,93,173,Women
Zhanyl Okoeva,47.56,72,97,169,Women
Saikhom Mirabai Chanu,47.77,82,-1,-1,Women
Vương Thị Huyền,47.84,-1,-1,-1,Women
Óscar Figueroa,61.86,142,176,318,Men
Eko Yuli Irawan,61.91,142,170,312,Men
Farkhad Kharki,61.6,135,170,305,Men
Yoichi Itokazu,61.87,133,169,302,Men
Ahmed Saad,62,133,161,294,Men
Morea Baru,61.72,126,164,290,Men
Muhammad Hasbi,61.97,130,160,290,Men
Vaipava Nevo Ioane,61.9,120,161,281,Men
Han Myeong-mok,61.81,130,150,280,Men
Julio Salamanca,62,120,155,275,Men
Julio Acosta González,61.3,120,146,266,Men
Yosuke Nakayama,62,121,145,266,Men
Rick Yves Confiance,62,105,127,232,Men
Jesús López Sanchez,61.9,125,-1,-1,Men
Edouard Joseph,60.2,107,-1,-1,Men
Chen Lijun,61.97,-1,-1,-1,Men
Sudesh Peiris,62,-1,-1,-1,Men
Hsu Shu-ching,52.6,100,112,212,Women
Hidilyn Diaz,52.61,88,112,200,Women
Yoon Jin-hee,52.59,88,111,199,Women
Rebeka Koha,52.11,90,107,197,Women
Rosane Santos,52.57,90,103,193,Women
Kanae Yagi,52.39,81,105,186,Women
Dewi Safitri,52.78,80,105,185,Women
Evagjelia Veli,51.58,75,90,165,Women
Lely Burgos,49.53,72,90,162,Women
Scarleth Mercado,52.85,66,89,155,Women
Fiorella Cueva,48.32,65,88,153,Women
Sofía Rito,51.74,64,82,146,Women
Li Yajun,52.5,101,-1,-1,Women
Shi Zhiyong (CHN),68.72,162,190,352,Men
Daniyar Ismayilov (TUR),68.59,163,188,351,Men
Luis Javier Mosquera (COL),68.54,155,183,338,Men
Bredni Roque (MEX),68.63,145,181,326,Men
Briken Calja (ALB),68.84,145,181,326,Men
Serghei Cechir (MDA),68.75,144,178,322,Men
Bernardin Matam (FRA),68.71,140,180,320,Men
Won Jeong-sik (KOR),68.95,143,177,320,Men
Triyatno (INA),68.6,142,175,317,Men
David Sánchez (ESP),68.61,142,175,317,Men
Tairat Bunsuk (THA),68.65,137,179,316,Men
Mohd Hafifi Mansor (MAS),68.71,140,176,316,Men
Kwon Yong-gwang (PRK),68.36,137,176,313,Men
Doston Yokubov (UZB),68.95,137,176,313,Men
Edwin Mosquera (COL),68.69,140,170,310,Men
Mohsen Al-Duhaylib (KSA),68.96,135,162,297,Men
Pan Chien-hung (TPE),68.79,136,160,296,Men
Kim Myong-hyok (PRK),68.87,157,-1,-1,Men
Karem Ben Hnia (TUN),68.87,147,-1,-1,Men
I Ketut Ariana (INA),68.75,-1,-1,-1,Men
Izzat Artykov (KGZ),68.68,151,188,339,Men
Sukanya Srisurat,56.89,110,130,240,Women
Pimsiri Sirikaew,57.4,102,130,232,Women
Kuo Hsing-chun,57.86,102,129,231,Women
Alexandra Escobar,57.23,100,123,223,Women
Mikiko Ando,57.56,94,124,218,Women
Yuderqui Contreras,57.58,100,117,217,Women
Lina Rivas,57.92,96,120,216,Women
Patricia Domínguez,57.47,96,115,211,Women
Yusleidy Figueroa,57.71,85,116,201,Women
Sabine Kusterer,57.7,90,110,200,Women
Mathlynn Sasser,56.8,87,112,199,Women
Angelica Roos,57.9,84,110,194,Women
Veronika Ivasiuk,57.1,90,103,193,Women
Tia-Clair Toomey,57.7,82,107,189,Women
Jenly Tegu Wini,57.5,84,104,188,Women
Ayesha Al-Balooshi,57,72,90,162,Women
Nijat Rahimov (KAZ),76.19,165,214,379,Men
Lü Xiaojun (CHN),76.83,177,202,379,Men
Mohamed Mahmoud (EGY),76.69,165,196,361,Men
Chatuphum Chinnawong (THA),76.52,165,191,356,Men
Alexandru Șpac (MDA),76.52,155,192,347,Men
Andrés Caicedo (COL),76.26,155,191,346,Men
Andrés Mata (ESP),76.32,153,190,343,Men
Choe Jon-wi (PRK),76.54,153,190,343,Men
Ibrahim Abdelbaki (EGY),76.9,152,186,338,Men
Nico Müller (GER),76.7,151,181,332,Men
Sathish Sivalingam (IND),76.96,148,181,329,Men
Deni (INA),69.38,146,177,323,Men
Andranik Karapetyan (ARM),76.75,174,-1,-1,Men
Dumitru Captari (ROU),76.68,145,-1,-1,Men
Deng Wei,62.34,115,147,262,Women
Choe Hyo-sim,62.17,105,143,248,Women
Karina Goricheva,62.66,111,132,243,Women
Mercedes Pérez,62.74,104,130,234,Women
Eva Gurrola,62.6,100,120,220,Women
Giorgia Bordignon,62.75,98,119,217,Women
Esraa El-Sayed,61.98,100,116,216,Women
Marina Rodríguez,62.2,94,121,215,Women
Namika Matsumoto,62.86,90,115,205,Women
Anni Vuohijoki,62.26,85,107,192,Women
Joana Palacios,62.95,83,107,190,Women
Elisa Ravololoniaina,61.91,85,100,185,Women
Mehtap Kurnaz,62.16,81,100,181,Women
Siripuch Gulnoi,62.56,108,-1,-1,Women
Kianoush Rostami (IRI),84.26,179,217,396,Men
Tian Tao (CHN),84.85,178,217,395,Men
Denis Ulanov (KAZ),84.95,175,215,390,Men
Oleksandr Pielieshenko (UKR),84.73,175,210,385,Men
Petr Asayonak (BLR),84.24,170,207,377,Men
Pavel Khadasevich (BLR),84.47,170,195,365,Men
Fares El-Bakh (QAT),84.79,158,203,361,Men
Giovanni Bardis (FRA),84.63,165,192,357,Men
Benjamin Hennequin (FRA),84.43,155,195,350,Men
Yoelmis Hernández (CUB),84.49,150,200,350,Men
Theodoros Iakovidis (GRE),84.58,160,190,350,Men
Pascal Plamondon (CAN),85,155,190,345,Men
Yu Dong-ju (KOR),84.44,150,190,340,Men
Amar Musić (CRO),84.58,150,186,336,Men
Richie Patterson (NZL),84.13,149,181,330,Men
Hoàng Tấn Tài (VIE),84.27,145,180,325,Men
Welisson Silva (BRA),84.69,145,180,325,Men
Milko Tokola (FIN),84.79,145,175,320,Men
Khalid El-Aabidi (MAR),80.57,120,165,285,Men
Christian Amoah (GHA),83.52,130,153,283,Men
Kyle Micallef (MLT),84.87,-1,-1,-1,Men
Arakel Mirzoyan (ARM),83.67,158,-1,-1,Men
Gabriel Sîncrăian (ROU),84.33,173,217,390,Men
Xiang Yanmei,68.78,116,145,261,Women
Zhazira Zhapparkul,69,115,144,259,Women
Sara Ahmed,68,112,143,255,Women
Leydi Solís,68.61,110,143,253,Women
Nazik Avdalyan,68.55,107,135,242,Women
Darya Pachabut,66.88,105,132,237,Women
Neisi Dajomes,68.83,107,130,237,Women
Mönkhjantsangiin Ankhtsetseg,68.97,106,131,237,Women
Marie-Ève Beauchemin-Nadeau,68.81,98,130,228,Women
Rebekah Tiler,68.59,101,126,227,Women
Apolonia Vaivai,68.88,88,113,201,Women
Duygu Aynacı,68.83,90,110,200,Women
Gulnabat Kadyrova,68.73,90,105,195,Women
Arcangeline Fouodji,68.08,82,105,187,Women
Patrycja Piechowiak,68.32,101,-1,-1,Women
Florina Sorina Hulpan,67.52,100,-1,-1,Women
Anastasiya Mikhalenka,67.23,-1,-1,-1,Women
Sohrab Moradi (IRI),93.64,182,221,403,Men
Vadzim Straltsou (BLR),93.7,175,220,395,Men
Aurimas Didžbalis (LTU),92.42,177,215,392,Men
Sarat Sumpradit (THA),93.05,177,213,390,Men
Ragab Abdelhay (EGY),93.45,174,213,387,Men
Dmytro Chumak (UKR),93.66,174,213,387,Men
Ali Hashemi (IRI),93.1,173,210,383,Men
Aliaksandr Bersanau (BLR),93.57,173,208,381,Men
Volodymyr Hoza (UKR),93.66,170,205,375,Men
Park Han-woong (KOR),92.39,165,202,367,Men
Kendrick Farris (USA),93.24,160,197,357,Men
Kévin Bouly (FRA),93.76,155,190,345,Men
Simplice Ribouem (AUS),93.25,155,185,340,Men
Sonny Webster (GBR),93.58,148,185,333,Men
Cristopher Pavón (HON),93.26,145,180,325,Men
Petit Minkoumba (CMR),91.61,140,165,305,Men
James Adede (KEN),92.89,116,140,256,Men
Tanumafili Jungblut (ASA),92.91,-1,-1,-1,Men
Rim Jong-sim,74.47,121,153,274,Women
Darya Naumava,74.63,116,142,258,Women
Lidia Valentín,74,116,141,257,Women
Ubaldina Valoyes,74.28,111,136,247,Women
Iryna Dekha,74.89,114,133,247,Women
Jenny Arthur,74.65,107,135,242,Women
María Fernanda Valdés,74.66,107,135,242,Women
Gaëlle Nayo-Ketchanke,73.61,102,135,237,Women
Alejandra Garza,74.59,98,126,224,Women
Sona Poghosyan,72.52,97,126,223,Women
Mary Opeloge,74.56,100,118,218,Women
Natalia Prișcepa,73.72,97,116,213,Women
Assiya İpek,69.77,83,103,186,Women
Samira Ouass,73.68,75,97,172,Women
Jaqueline Ferreira,74.89,-1,-1,-1,Women
Ruslan Nurudinov (UZB),104.96,194,237,431,Men
Simon Martirosyan (ARM),104.63,190,227,417,Men
Aleksandr Zaychikov (KAZ),104.51,193,223,416,Men
Yang Zhe (CHN),104.59,190,225,415,Men
Ivan Efremov (UZB),104.9,194,220,414,Men
Mohammad Reza Barari (IRI),104.65,186,220,406,Men
Arkadiusz Michalski (POL),104.77,179,221,400,Men
Artūrs Plēsnieks (LAT),103.99,181,218,399,Men
Salwan Jassim Abbood (IRQ),103.8,180,214,394,Men
Jürgen Spieß (GER),104.51,170,220,390,Men
Sargis Martirosjan (AUT),104.19,179,210,389,Men
Gaber Mohamed (EGY),104.98,173,204,377,Men
Hernán Viera (PER),103.85,151,200,351,Men
David Katoatau (KIR),104.58,145,204,349,Men
Bartłomiej Bonk (POL),104.07,185,-1,-1,Men
Giorgi Chkheidze (GEO),104.74,170,-1,-1,Men
Mateus Gregório (BRA),104.47,170,-1,-1,Men
Meng Suping,120.27,130,177,307,Women
Kim Kuk-hyang,100.43,131,175,306,Women
Sarah Robles,143.3,126,160,286,Women
Shaimaa Khalaf,123.75,117,161,278,Women
Lee Hui-sol,119.49,122,153,275,Women
Son Young-hee,109.58,118,155,273,Women
Yaniuska Espinosa,114.08,121,152,273,Women
Andreea Aanei,120.01,120,145,265,Women
Mariam Usman,122.39,115,150,265,Women
Anastasiya Lysenko,100.97,117,146,263,Women
Yosra Dhieb,120.06,111,138,249,Women
Anastasiia Hotfrid,86.98,113,135,248,Women
Tracey Lambrechs,106.54,98,133,231,Women
Luisa Peters,100.27,100,124,224,Women
Bouchra Fatima Zohra Hirech,80.35,87,105,192,Women
Naryury Pérez,99.91,117,-1,-1,Women
Lasha Talakhadze (GEO),157.34,215,258,473,Men
Gor Minasyan (ARM),143.67,210,241,451,Men
Irakli Turmanidze (GEO),135.58,207,241,448,Men
Ruben Aleksanyan (ARM),151.64,195,245,440,Men
Fernando Reis (BRA),154.58,195,240,435,Men
Rustam Djangabaev (UZB),145.88,195,237,432,Men
Mart Seim (EST),149.1,187,243,430,Men
Jiří Orság (CZE),127.27,185,240,425,Men
Almir Velagić (GER),149.17,188,232,420,Men
Péter Nagy (HUN),158.86,193,227,420,Men
Sardorbek Dustmurotov (UZB),109.79,179,232,411,Men
Aliksei Mzhachyk (BLR),135.6,187,224,411,Men
Walid Bidani (ALG),123.46,190,220,410,Men
Fernando Salas (ECU),162.5,184,221,405,Men
Man Asaad (SYR),143.42,180,220,400,Men
Alexej Prochorow (GER),138.31,180,215,395,Men
Igor Olshanetskyi (ISR),129.54,165,207,372,Men
Ondrej Kružel (SVK),118.64,165,206,371,Men
Ihor Shymechko (UKR),129.75,170,195,365,Men
Behdad Salimi (IRI),169.79,216,-1,-1,Men
Chen Shih-chieh (TPE),151.66,185,-1,-1,Men
Ahmed Mohamed (EGY),143.88,190,-1,-1,Men
Hojamuhammet Toychiyev (TKM),144.71,-1,-1,-1,Men
Li Fabin,60.9,141,172,313,Men
Eko Yuli Irawan,60.8,137,165,302,Men
Igor Son,60.25,131,163,294,Men
Yoichi Itokazu,60.85,133,159,292,Men
Seraj Al-Saleem,60.9,129,159,288,Men
Davide Ruiu,60.9,127,159,286,Men
Shota Mishvelidze,60.95,130,155,285,Men
Luis García,60.95,120,154,274,Men
Simon Brandhuber,61,123,145,268,Men
Morea Baru,61,118,147,265,Men
Eric Andriantsitohaina,60.1,114,150,264,Men
Marcos Rojas,60.9,105,135,240,Men
Thạch Kim Tuấn,60.8,126,-1,-1,Men
Kao Chan-hung,60.7,125,-1,-1,Men
Hou Zhihui,49,94,116,210,Women
Saikhom Mirabai Chanu,48.85,87,115,202,Women
Windy Cantika Aisah,48.8,84,110,194,Women
Fang Wan-ling,48.65,80,101,181,Women
Nina Sterckx,48.75,81,99,180,Women
Ludia Montero,49,82,96,178,Women
Anaïs Michel,48.9,78,99,177,Women
Beatriz Pirón,49,81,95,176,Women
Natasha Rosa Figueiredo,48.95,78,95,173,Women
Dika Toua,48.95,72,95,167,Women
Roilya Ranaivosoa,48.95,73,91,164,Women
Jourdan Delacruz,48.9,86,-1,-1,Women
Hiromi Miyake,48.9,74,-1,-1,Women
Kristina Sobol,49,-1,-1,-1,Women
Chen Lijun,66.85,145,187,332,Men
Luis Javier Mosquera,66.85,151,180,331,Men
Mirko Zanni,66.95,145,177,322,Men
Han Myeong-mok,66.9,147,174,321,Men
Talha Talib,66.95,150,170,320,Men
Adkhamjon Ergashev,67,139,173,312,Men
Mitsunori Konnai,66.95,135,172,307,Men
Goga Chkheidze,66.95,133,169,302,Men
Deni,66.75,135,166,301,Men
Jonathan Muñoz,66.85,135,163,298,Men
Tojonirina Andriantsitohaina,66,130,155,285,Men
Ruben Katoatau,67,105,140,245,Men
Muhammed Furkan Özbek,66.7,142,-1,-1,Men
Bernardin Matam,66.95,135,-1,-1,Men
Hidilyn Diaz,54.8,97,127,224,Women
Liao Qiuyun,54.65,97,126,223,Women
Zulfiya Chinshanlo,54.95,90,123,213,Women
Muattar Nabieva,54.95,98,114,212,Women
Kamila Konotop,54.95,94,112,206,Women
Kristina Şermetowa,54.85,90,115,205,Women
Ham Eun-ji,54.9,85,116,201,Women
Nouha Landoulsi,54.85,88,108,196,Women
Ana Gabriela López,54.8,90,105,195,Women
Joanna Łochowska,54.7,84,102,186,Women
Kanae Yagi,54.75,81,102,183,Women
Rachel Leblanc-Bazinet,54.9,82,99,181,Women
Chiang Nien-hsin,54.8,81,95,176,Women
Mary Kini Lifu,54.5,67,87,154,Women
Shi Zhiyong,72.85,166,198,364,Men
Julio Mayora,72.6,156,190,346,Men
Rahmat Erwin Abdullah,72.41,152,190,342,Men
Briken Calja,72.85,151,190,341,Men
Bozhidar Andreev,72.75,154,184,338,Men
Karem Ben Hnia,72.8,153,185,338,Men
Masanori Miyamoto,72.8,147,188,335,Men
Marin Robu,72.95,155,175,330,Men
Clarence Cummings,72.9,145,180,325,Men
David Sánchez,72.9,146,177,323,Men
Jorge Cárdenas,72.65,145,175,320,Men
Mahmoud Al-Humayd,72.5,141,165,306,Men
Brandon Wakeling,72.4,125,166,291,Men
Abderrahim Moum,71.95,127,151,278,Men
Kuo Hsing-chun,58.65,103,133,236,Women
Polina Guryeva,58.95,96,121,217,Women
Mikiko Ando,58.7,94,120,214,Women
Dora Tchakounté,58.55,96,117,213,Women
Hoàng Thị Duyên,58.65,95,113,208,Women
Yusleidy Figueroa,58.8,91,115,206,Women
Izabella Yaylyan,58.15,95,110,205,Women
Zoe Smith,58.95,87,113,200,Women
Tali Darsigny,59,90,109,199,Women
Sabine Kusterer,58.7,91,107,198,Women
Maria Grazia Alemanno,58.95,85,100,185,Women
Erika Yamasaki,58.75,75,95,170,Women
Magdeline Moyengwa,58.05,70,-1,-1,Women
Alexandra Escobar,58.75,-1,-1,-1,Women
Lü Xiaojun,80.75,170,204,374,Men
Zacarías Bonnat,80.9,163,204,367,Men
Antonino Pizzolato,80.9,165,200,365,Men
Harrison Maurus,80.95,161,200,361,Men
Brayan Rodallegas,80.8,163,196,359,Men
Ritvars Suharevs,80.9,163,195,358,Men
Nico Müller,80.9,159,195,354,Men
Andrés Mata,80.7,158,189,347,Men
Erkand Qerimaj,-1,157,181,338,Men
Amur Salim Al-Khanjari,-1,140,177,317,Men
Cameron McTaggart,-1,140,175,315,Men
Ramzi Bahloul,-1,136,164,300,Men
Rejepbaý Rejepow,80.95,164,-1,-1,Men
Arley Méndez,81,160,-1,-1,Men
Maude Charron,63.3,105,131,236,Women
Giorgia Bordignon,63.7,104,128,232,Women
Chen Wen-huei,63.9,103,127,230,Women
Mercedes Pérez,63.7,101,126,227,Women
Sarah Davies,63.9,100,127,227,Women
Angie Palacios,63.55,104,122,226,Women
Elreen Ando,63.15,100,122,222,Women
Marina Rodríguez,64,98,123,221,Women
Nuray Levent,63.1,100,120,220,Women
Lisa Schweizer,63.6,100,117,217,Women
Kiana Elliott,63.4,101,108,209,Women
Sema Ludrick,64,87,115,202,Women
Yasmin Zammit Stevens,63.7,84,105,189,Women
Chaima Rahmouni,62.9,91,-1,-1,Women
Neisi Dajomes,75.1,118,145,263,Women
Katherine Nye,75.15,111,138,249,Women
Aremi Fuentes,75.65,108,137,245,Women
Patricia Strenius,72.8,102,133,235,Women
Darya Naumava,75.3,103,131,234,Women
Kumushkhon Fayzullaeva,71.8,101,126,227,Women
Emily Muskett,71.85,98,124,222,Women
Kristel Ngarlem,75.35,95,123,218,Women
Mahassen Fattouh,69.6,93,124,217,Women
Nancy Genzel Abouke,71.8,90,113,203,Women
Jeanne Gaëlle Eyenga,75.5,91,111,202,Women
Iryna Dekha,75.75,113,-1,-1,Women
Kim Su-hyeon,75.65,106,-1,-1,Women
Akbar Djuraev,109,193,237,430,Men
Simon Martirosyan,108.9,195,228,423,Men
Artūrs Plēsnieks,108.85,180,230,410,Men
Timur Naniev,108.95,188,221,409,Men
Hristo Hristov,108.9,189,219,408,Men
Jin Yun-seong,107.3,180,220,400,Men
Arkadiusz Michalski,108.6,175,216,391,Men
Wesley Kitts,108.35,177,213,390,Men
Aymen Bacha,108.1,177,211,388,Men
Öwez Öwezow,108.8,171,200,371,Men
Arnas Šidiškis,105.35,156,187,343,Men
Matthew Lydement,108.35,158,180,338,Men
Tanumafili Jungblut,108.9,150,180,330,Men
Ali Hashemi,108.8,184,-1,-1,Men
Wang Zhouyu,84.2,120,150,270,Women
Tamara Salazar,85.3,113,150,263,Women
Crismery Santana,86.5,116,140,256,Women
Mönkhjantsangiin Ankhtsetseg,86.95,110,142,252,Women
Gaëlle Nayo-Ketchanke,84.05,108,139,247,Women
Mattie Rogers,78.55,108,138,246,Women
Naryury Pérez,86.35,112,130,242,Women
Elena Cîlcic,86.8,105,135,240,Women
Kang Yeoun-hee,76.7,103,128,231,Women
Lidia Valentín,80.6,103,122,225,Women
Clementine Meukeugni,85.85,99,125,224,Women
Jaqueline Ferreira,-1,100,115,215,Women
Kanah Andrews-Nahu,-1,94,112,206,Women
Lasha Talakhadze,177,223,265,488,Men
Ali Davoudi,168.25,200,241,441,Men
Man Asaad,147.55,190,234,424,Men
Hojamuhammet Toýçyýew,141.85,184,230,414,Men
David Liti,176.55,178,236,414,Men
Enzo Kuworge,161.1,175,234,409,Men
Péter Nagy,160.3,178,218,396,Men
Marcos Ruiz,109.9,180,215,395,Men
Caine Wilkes,151.15,173,217,390,Men
Sargis Martirosjan,114.35,180,201,381,Men
David Litvinov,128.3,176,205,381,Men
Hsieh Yun-ting,126.05,172,206,378,Men
Jiří Orság,140.9,180,-1,-1,Men
Walid Bidani,5,5,5,5,Men
Li Wenwen,150.1,140,180,320,Women
Emily Campbell,124.8,122,161,283,Women
Sarah Robles,148.3,128,154,282,Women
Lee Seon-mi,118.9,125,152,277,Women
Nurul Akmal,113.55,115,141,256,Women
Charisma Amoe-Tarrant,154.05,105,138,243,Women
Verónica Saladín,126.2,111,131,242,Women
Kuinini Manumua,108.5,103,125,228,Women
Eyurkenia Duverger,103.65,96,129,225,Women
Sarah Fischer,93.35,97,123,220,Women
Anna Van Bellinghen,87.1,96,123,219,Women
Erdenebatyn Bilegsaikhan,-1,85,122,207,Women
Scarleth Ucelo,113.5,87,116,203,Women
Laurel Hubbard,146.7,-1,-1,-1,Women
